ID,City,Lat,Lon,Address
1,اراک,34.08529,49.6884,خیابان عباس آباد، روبه روی پاساژ اسلامی، کوچه امامی
2,اراک,34.0892,49.6809,اراک ، پایین تر از پل فرنگ، خیابان کاشانی،تهیه غذای منظریه
3,اراک,34.07695,49.69774,اراک، خیابان شریعتی، نبش کوچه پامچال
4,اراک,34.09574,49.683,اراک، سه راه ابوذر، خیابان ابوذر، روبروی نانوایی سنگکی
5,اراک,34.07947,49.70828,اراک، بلوار جهان پناه، پشت سیلو، بعد از برج ایران زمین
6,اراک,34.07743,49.70847,اراک، خیابان جهان پناه، ابتدای علم الهدی
7,اراک,34.07743,49.70847,اراک، خیابان جهان پناه، ابتدای علم الهدی
8,بندرعباس,27.20225,56.34585,گلشهر، خیابان امام خمینی، نرسیده به چهار راه نخل، روبروی خیابان اتوبوس رانی
9,بندرعباس,27.20877,56.34294,چهار راه داماهی، گوهران13
10,بندرعباس,27.2104,56.34354,داماهی گوهران 15، نبش ایرانیت شمالی
11,بندرعباس,27.20826,56.34343,داماهی، نبش گوهران 11
12,بندرعباس,27.20733,56.34394,نبش جها راه داماهی
13,بندرعباس,27.20653,56.33347,بلوار پردیس، جنب دانشگاه آزاد، روبروی بیمارستان خلیج فارس، بلوار پردیس
14,بندرعباس,27.17847,56.2788,فلکه برق، به سمت ساحل، خیابان حافظ جنوبی، جنب مسجد امام
15,بندرعباس,27.17847,56.2788,فلکه برق، به سمت ساحل، خیابان حافظ جنوبی، جنب مسجد امام
16,گنبد کاووس,37.23819,55.16242,خیابان 17 شهریور غربی، نامجو جنوبی، نبش کوچه 9
17,گنبد کاووس,37.25326,55.18051,خیابان سرابی، روبروی خیابان سپاس
18,گنبد کاووس,37.24907,55.16653,خیابان امام خمینی، ابتدای خیابان 12 دی غربی(گلشن غربی)
19,گنبد کاووس,37.24558,55.18399,بلوار دانشجو، بعد از چهارراه شهدا، بین دانشجو 14 و 16
20,گنبد کاووس,37.24552,55.20026,میدان بسیج، ایستگاه کلاله
21,گنبد کاووس,37.24275,55.18348,بلوار دانشجو، نبش دانشجو 8
22,گنبد کاووس,37.22601,55.16626,میدان امام علی، بلوار صیاد شیرازی، جنب پارک الغدیر
23,گنبد کاووس,37.23688,55.1775,میدان مالک اشتر، بلوار استاندارد
24,گنبد کاووس,37.22053,55.16883,ضلع شمالی دریاچه مصنوعی، مجتمع وارنا
25,گنبد کاووس,37.24526,55.16343,خیابان نامجو، پشت سالن تختی، بالاتر از باشگاه 360
26,گنبد کاووس,37.25352,55.17337,خیابان سرابی، بین خیام و دانش، نبش کوچه 9
27,گنبد کاووس,37.24667,55.15913,میدان سینا
28,گرگان,36.82573,54.45472,بلوار گلشهر، روبروی گلشهر 25
29,گرگان,36.82327,54.45538,بلوار گلشهر، نبش گلشهر 15
30,گرگان,36.83624,54.46097,شهرک سپاه، بین گلباران 1 و 3
31,گرگان,36.83966,54.44829,ابتدای بلوار استاندارد، جنب فروشگاه اتکا
32,گرگان,36.82205,54.4397,انتهای خیابان امام رضا، نرسیده به میدان چشم انداز
33,گرگان,36.83401,54.43956,خیابان ولیعصر، نبش عدالت 8
34,گرگان,36.83104,54.43434,چاله باغ، قدس 4، مجتمع گرگان
35,گرگان,36.82627,54.4536,بلوار گلشهر، نبش گلشهر 27
36,همدان,34.79444,48.5149,پیاده راه بوعلی، مرکز خرید شهرآرا- طبقه 4
